Kelompok Komoditas / Commodity Groups,Perkotaan / Urban,Perdesaan / Rural,Perkotaan+Perdesaan / Urban+Rural
Padi-padian / Cereals,"84,072","96,924","89,278"
Umbi-umbian / Tubers,"8,193","11,146","9,389"
Ikan/Udang/Cumi/Kerang / Fish/Shrimp/Squid/Shell,"63,539","57,426","61,063"
Daging / Meat,"43,213","29,771","37,769"
Telur dan Susu / Eggs and Milk,"46,393","30,457","39,939"
Sayur-sayuran / Vegetables,"65,257","63,526","64,556"
Kacang-kacangan / Legumes,"16,452","13,813","15,383"
Buah-buahan / Fruits,"50,036","36,370","44,501"
Minyak dan Kelapa / Oil and Coconut,"20,353","21,337","20,752"
Bahan Minuman / Beverages Stuffs,"22,600","23,837","23,101"
Bumbu-bumbuan / Spices,"16,529","15,172","15,979"
Bahan Makanan Lainnya / Other Food Items,"14,519","12,248","13,599"
Makanan dan Minuman Jadi / Prepared Food and Beverage,"294,188","181,387","248,501"
Rokok dan Tembakau / Cigarette and Tobacco,"88,750","96,053","91,708"
Makanan / Food,"834,093","689,466","775,516"
Perumahan dan Fasilitas Rumah Tangga / Housing and Household Facilities,"488,778","266,270","398,657"
Aneka Barang dan Jasa / Goods and Services,"256,949","118,093","200,710"
"Pakaian, Alas Kaki, dan Tutup Kepala / Clothing, Footwear, and Headgear","44,802","30,880","39,163"
Barang Tahan Lama / Durable Goods,"74,690","45,984","63,063"
"Pajak, Pungutan, dan Asuransi / Taxes and Insurances","80,203","41,954","64,711"
Keperluan Pesta dan Upacara/Kenduri / Parties and Ceremonies,"32,183","20,044","27,267"
Bukan Makanan / Non Food,"977,605","523,225","793,572"
Total Pengeluaran / Total Expenditure,"1,811,698","1,212,690","1,569,088"
