Kelompok Komoditas / Commodity Groups,Perkotaan / Urban,Perdesaan / Rural,Perkotaan+Perdesaan / Urban+Rural
Padi-padian/Cereals,4.64,7.99,5.69
Umbi-umbian/Tubers,0.45,0.92,0.60
"Ikan/Udang/Cumi/Kerang
Fish/Shrimp/Squid/Shell",3.51,4.74,3.89
Daging/Meat,2.39,2.45,2.41
Telur dan Susu/Eggs and Milk,2.56,2.51,2.55
Sayur-sayuran/Vegetables,3.60,5.24,4.11
Kacang-kacangan/Legumes,0.91,1.14,0.98
Buah-buahan/Fruits,2.76,3.00,2.84
Minyak dan Kelapa/Oil and Coconut,1.12,1.76,1.32
Bahan Minuman/Beverages Stuffs,1.25,1.97,1.47
Bumbu-bumbuan/Spices,0.91,1.25,1.02
"Bahan Makanan Lainnya
Other Food Items",0.80,1.01,0.87
"Makanan dan Minuman Jadi
Prepared Food and Beverage",16.24,14.96,15.84
"Rokok dan Tembakau
Cigarette and Tobacco",4.90,7.92,5.84
Makanan/Food,46.04,56.85,49.42
"Perumahan dan Fasilitas Rumah Tangga
Housing and Household Facilities",26.98,21.96,25.41
"Aneka Barang dan Jasa
Goods and Services",14.18,9.74,12.79
"Pakaian, Alas Kaki, dan Tutup Kepala
Clothing, Footwear, and Headgear",2.47,2.55,2.50
Barang Tahan Lama/Durable Goods,4.12,3.79,4.02
"Pajak, Pungutan, dan Asuransi
Taxes and Insurances",4.43,3.46,4.12
"Keperluan Pesta dan Upacara/Kenduri
Parties and Ceremonies",1.78,1.65,1.74
Bukan Makanan/Non Food,53.96,43.15,50.58
Total Pengeluaran/Total Expenditure,100.00,100.00,100.00
