date,description,category,amount,type,type_clean,month,year,bucket,day,dayofweek,is_weekend,amount_log,is_expense
2020-01-02,Score each.,Food & Drink,1485.69,Expense,expense,2020-01,2020,kebutuhan_pokok,2,3,0,7.304307451290098,1
2020-01-02,Quality throughout.,Utilities,1475.58,Expense,expense,2020-01,2020,kebutuhan_pokok,2,3,0,7.297483881903782,1
2020-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense,expense,2020-01,2020,kebutuhan_pokok,4,5,1,7.07840903090841,1
2020-01-05,Information last everything thank serve.,Investment,2291.0,Income,income,2020-01,2020,tabungan,5,6,1,7.73718007783463,0
2020-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense,expense,2020-01,2020,kebutuhan_pokok,13,0,0,7.02809504342021,1
2020-01-14,Benefit suggest page southern.,Shopping,448.68,Expense,expense,2020-01,2020,kebutuhan_sekunder,14,1,0,6.1085362186938195,1
2020-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense,expense,2020-01,2020,kebutuhan_pokok,18,5,1,7.327143015930657,1
2020-01-19,Court attorney product significant world.,Other,3287.0,Income,income,2020-01,2020,lainnya,19,6,1,8.098034756176071,0
2020-01-21,Herself law.,Entertainment,1914.85,Expense,expense,2020-01,2020,kebutuhan_sekunder,21,1,0,7.557916667365924,1
2020-01-25,Have decide environment.,Rent,766.06,Expense,expense,2020-01,2020,kebutuhan_pokok,25,5,1,6.642565025165583,1
2020-01-25,Play move each left establish.,Health & Fitness,1211.41,Expense,expense,2020-01,2020,lainnya,25,5,1,7.100365393252569,1
2020-01-26,Range successful simply.,Salary,1077.09,Expense,expense,2020-01,2020,income,26,6,1,6.982946235924649,1
2020-01-29,Source husband.,Shopping,166.81,Expense,expense,2020-01,2020,kebutuhan_sekunder,29,2,0,5.12283238701307,1
2020-01-30,Tree note responsibility.,Health & Fitness,1158.93,Expense,expense,2020-01,2020,lainnya,30,3,0,7.056114937452002,1
2020-01-31,How trip learn enter.,Food & Drink,1325.91,Expense,expense,2020-01,2020,kebutuhan_pokok,31,4,0,7.1906082098769435,1
2020-01-31,Much section investment on gun.,Rent,1712.08,Expense,expense,2020-01,2020,kebutuhan_pokok,31,4,0,7.446048198926566,1
2020-01-31,Management sense technology check civil.,Shopping,563.17,Expense,expense,2020-01,2020,kebutuhan_sekunder,31,4,0,6.335355624520363,1
2020-02-02,As high you more wife.,Health & Fitness,333.68,Expense,expense,2020-02,2020,lainnya,2,6,1,5.813174851427398,1
2020-02-04,Race mr.,Travel,1406.62,Expense,expense,2020-02,2020,kebutuhan_sekunder,4,1,0,7.249655613928472,1
2020-02-05,Born itself law west.,Rent,1222.17,Expense,expense,2020-02,2020,kebutuhan_pokok,5,2,0,7.109201128480211,1
2020-02-05,Seven medical blood personal.,Investment,1838.0,Income,income,2020-02,2020,tabungan,5,2,0,7.516977224604321,0
2020-02-07,Current hear claim well two.,Travel,1979.15,Expense,expense,2020-02,2020,kebutuhan_sekunder,7,4,0,7.590927878394878,1
2020-02-07,Food affect upon these story.,Entertainment,1372.38,Expense,expense,2020-02,2020,kebutuhan_sekunder,7,4,0,7.22503013368066,1
2020-02-08,Around there water.,Food & Drink,465.81,Expense,expense,2020-02,2020,kebutuhan_pokok,8,5,1,6.145922322633671,1
2020-02-08,Staff within mouth call.,Other,3786.0,Income,income,2020-02,2020,lainnya,8,5,1,8.239329427901795,0
2020-02-09,Close month parent who up.,Entertainment,1827.14,Expense,expense,2020-02,2020,kebutuhan_sekunder,9,6,1,7.511054335514765,1
2020-02-11,Human public health.,Health & Fitness,433.13,Expense,expense,2020-02,2020,lainnya,11,1,0,6.073344028418011,1
2020-02-13,Building different full open.,Salary,294.31,Expense,expense,2020-02,2020,income,13,3,0,5.688025652043763,1
2020-02-15,Detail audience piece director town.,Other,4009.0,Income,income,2020-02,2020,lainnya,15,5,1,8.296546520300614,0
2020-02-16,Method everything.,Shopping,730.37,Expense,expense,2020-02,2020,kebutuhan_sekunder,16,6,1,6.594919487646816,1
2020-02-16,Much rich think.,Utilities,1023.96,Expense,expense,2020-02,2020,kebutuhan_pokok,16,6,1,6.9324088664207935,1
2020-02-18,Drug list imagine behind.,Investment,1398.0,Income,income,2020-02,2020,tabungan,18,1,0,7.243512974665482,0
2020-02-19,Interest level rock pull.,Investment,3958.0,Income,income,2020-02,2020,tabungan,19,2,0,8.28374674710613,0
2020-02-20,I fund.,Shopping,769.42,Expense,expense,2020-02,2020,kebutuhan_sekunder,20,3,0,6.646935820686926,1
2020-02-26,Court movie cell.,Travel,1942.45,Expense,expense,2020-02,2020,kebutuhan_sekunder,26,2,0,7.572220023179759,1
2020-02-27,Leg themselves away.,Food & Drink,1363.76,Expense,expense,2020-02,2020,kebutuhan_pokok,27,3,0,7.218733867984353,1
2020-02-28,Anything yourself.,Other,3286.0,Income,income,2020-02,2020,lainnya,28,4,0,8.097730573664219,0
2020-02-28,Unit support.,Other,1795.0,Income,income,2020-02,2020,lainnya,28,4,0,7.493317248862145,0
2020-02-29,Magazine degree husband around.,Travel,1944.06,Expense,expense,2020-02,2020,kebutuhan_sekunder,29,5,1,7.573048103905796,1
2020-03-03,World enter.,Rent,1742.33,Expense,expense,2020-03,2020,kebutuhan_pokok,3,1,0,7.463552356343142,1
2020-03-04,Institution whatever yet.,Entertainment,314.15,Expense,expense,2020-03,2020,kebutuhan_sekunder,4,2,0,5.753048715959119,1
2020-03-04,Choice father why often.,Food & Drink,1201.9,Expense,expense,2020-03,2020,kebutuhan_pokok,4,2,0,7.092490587000027,1
2020-03-09,Security arm.,Rent,1858.91,Expense,expense,2020-03,2020,kebutuhan_pokok,9,0,0,7.528283378439779,1
2020-03-09,Me system church whether.,Travel,486.51,Expense,expense,2020-03,2020,kebutuhan_sekunder,9,0,0,6.18931080304803,1
2020-03-11,Attention attack technology.,Rent,180.45,Expense,expense,2020-03,2020,kebutuhan_pokok,11,2,0,5.20098013365908,1
2020-03-11,Walk now often.,Rent,1956.19,Expense,expense,2020-03,2020,kebutuhan_pokok,11,2,0,7.579265050062043,1
2020-03-12,Bank price north first end.,Utilities,265.5,Expense,expense,2020-03,2020,kebutuhan_pokok,12,3,0,5.585374243605899,1
2020-03-12,Enter capital population.,Utilities,537.46,Expense,expense,2020-03,2020,kebutuhan_pokok,12,3,0,6.2887132134289745,1
2020-03-14,Upon very act perform.,Shopping,1929.08,Expense,expense,2020-03,2020,kebutuhan_sekunder,14,5,1,7.565316731817074,1
2020-03-15,Available defense.,Entertainment,1428.77,Expense,expense,2020-03,2020,kebutuhan_sekunder,15,6,1,7.265268871157109,1
